Type of crime,Region,Year,The number of crimes,The number of crimes (cases per 100.000 population),is_federal_level
Rape,Jewish Autonomous Oblast,2008,13.0,7.3,False
Rape,Chukotka Autonomous Okrug,2008,7.0,13.3,False
Theft,Russian Federation,2008,1326342.0,929.2,True
Theft,Belgorod Oblast,2008,6864.0,451.5,False
Theft,Bryansk Oblast,2008,10997.0,843.8,False
Theft,Vladimir Oblast,2008,14346.0,978.1,False
Theft,Voronezh Oblast,2008,16236.0,692.5,False
Theft,Ivanovo Oblast,2008,9757.0,902.5,False
Theft,Kaluga Oblast,2008,8531.0,838.2,False
Theft,Kostroma Oblast,2008,4276.0,625.7,False
Theft,Kursk Oblast,2008,11169.0,969.7,False
Theft,Lipetsk Oblast,2008,9071.0,764.4,False
Theft,Moscow Oblast,2008,48732.0,706.7,False
Theft,Oryol Oblast,2008,7662.0,951.6,False
Theft,Ryazan Oblast,2008,4877.0,415.3,False
Theft,Smolensk Oblast,2008,9297.0,921.4,False
Theft,Tambov Oblast,2008,6485.0,580.9,False
Theft,Tver Oblast,2008,17701.0,1276.3,False
Theft,Tula Oblast,2008,6831.0,430.2,False
Theft,Yaroslavl Oblast,2008,12355.0,955.9,False
Theft,Moscow,2008,92866.0,830.1,False
Theft,Republic of Karelia,2008,6236.0,945.7,False
Theft,Komi Republic,2008,9708.0,1038.4,False
Theft,Arkhangelsk Oblast,2008,12486.0,1027.4,False
Theft,Nenets Autonomous Okrug,2008,330.0,787.6,False
Theft,Vologda Oblast,2008,12169.0,997.6,False
Theft,Kaliningrad Oblast,2008,8497.0,908.5,False
Theft,Leningrad Oblast,2008,15180.0,896.9,False
Theft,Murmansk Oblast,2008,8206.0,1006.7,False
Theft,Novgorod Oblast,2008,7183.0,1101.4,False
Theft,Pskov Oblast,2008,6929.0,990.4,False
Theft,Saint Petersburg,2008,32971.0,692.0,False
Theft,Republic of Dagestan,2008,2830.0,101.5,False
Theft,Republic of Ingushetia,2008,330.0,81.2,False
Theft,Kabardino-Balkar Republic,2008,3785.0,441.5,False
Theft,Karachay-Cherkess Republic,2008,1380.0,295.9,False
Theft,Republic of North Ossetia-Alania,2008,3060.0,430.1,False
Theft,Chechen Republic,2008,428.0,35.8,False
Theft,Stavropol Krai,2008,15701.0,568.9,False
Theft,Republic of Adygea,2008,1659.0,378.9,False
Theft,Republic of Kalmykia,2008,1657.0,568.1,False
Theft,Republic of Crimea,2008,,,False
Theft,Krasnodar Krai,2008,27375.0,529.4,False
Theft,Astrakhan Oblast,2008,8486.0,843.6,False
Theft,Volgograd Oblast,2008,18657.0,711.3,False
Theft,Rostov Oblast,2008,39329.0,915.1,False
Theft,Sevastopol,2008,,,False
Theft,Republic of Bashkortostan,2008,31168.0,768.7,False
Theft,Mari El Republic,2008,7531.0,1068.3,False
Theft,Republic of Mordovia,2008,3464.0,406.7,False
Theft,Republic of Tatarstan,2008,34843.0,925.0,False
Theft,Udmurt Republic,2008,18768.0,1224.3,False
Theft,Chuvash Republic,2008,8031.0,635.9,False
Theft,Perm Krai,2008,45292.0,1693.8,False
Theft,Kirov Oblast,2008,11034.0,799.9,False
Theft,Nizhny Novgorod Oblast,2008,40577.0,1206.6,False
Theft,Orenburg Oblast,2008,14892.0,724.4,False
Theft,Penza Oblast,2008,9349.0,665.2,False
Theft,Samara Oblast,2008,33311.0,1034.2,False
Theft,Saratov Oblast,2008,19248.0,752.4,False
Theft,Ulyanovsk Oblast,2008,8632.0,655.8,False
Theft,Kurgan Oblast,2008,10816.0,1157.4,False
Theft,Sverdlovsk Oblast,2008,49543.0,1146.8,False
Theft,Tyumen Oblast,2008,19550.0,1486.3,False
Theft,Khanty–Mansi Autonomous Okrug – Yugra,2008,14532.0,974.5,False
Theft,Yamalo-Nenets Autonomous Okrug,2008,3014.0,575.2,False
Theft,Chelyabinsk Oblast,2008,42466.0,1217.1,False
Theft,Altai Republic,2008,2177.0,1071.7,False
